cross,plant,mat_family,cross_type,mean_length,mean_dist,trans,view_per_tiller,plant_level_trans,seed_tiller_level,M_ID,D_ID,endo
103_1_til2,103_1,103,inter,64.9995,13,1,2,1,8,7141,7142,1
103_1_til3,103_1,103,inter,46.355,13,1,2,1,10,7141,7142,1
105_1_til1,105_1,105,inter,42.384,13.5,1,2,1,4,9227,741,2
105_2_til1,105_2,105,inter,61.987,13.5,1,1,1,0,9227,741,2
118_2_til1,118_2,118,inter,38.06375,6.5,1,4,1,2,10481,10402,2
118_2_til2,118_2,118,inter,35.55655556,6.5,1,9,1,15,10481,10402,2
118_2_til3,118_2,118,inter,32.91211765,6.5,1,17,1,7,10481,10402,2
126_1_til1,126_1,126,inter,67.501,9,0.5,2,0.66,2,10163,991,2
126_1_til2,126_1,126,inter,41.587,9,0.625,2,0.66,8,10163,991,2
133_1_til1,133_1,133,hyb,28.13666667,11.25,1,6,1,25,10164,2351,2
133_1_til3,133_1,133,hyb,51.3105,11.25,1,2,1,6,10164,2351,2
133_2_til1,133_2,133,hyb,67.772,11.25,1,1,0.928571429,4,10164,2351,2
133_2_til2,133_2,133,hyb,16.2988,11.25,0.909090909,10,0.928571429,21,10164,2351,2
133_3_til1,133_3,133,hyb,31.143,11.25,1,4,1,10,10164,2351,2
133_3_til2,133_3,133,hyb,26.96390909,11.25,1,11,1,43,10164,2351,2
133_3_til3,133_3,133,hyb,23.9132,11.25,1,5,1,31,10164,2351,2
133_3_til4,133_3,133,hyb,38.92025,11.25,1,4,1,na,10164,2351,2
133_5_til1,133_5,133,hyb,36.5604,11.25,1,5,1,10,10164,2351,2
133_5_til2,133_5,133,hyb,39.594,11.25,1,2,1,5,10164,2351,2
133_5_til3,133_5,133,hyb,81.607,11.25,1,1,1,30,10164,2351,2
141_4_til1,141_4,141,hyb,32.339,16,1,1,1,23,6412,6343,1
143_5_til1,143_5,143,hyb,51.6654,10,1,5,1,1,6451,2291,1
143_5_til3,143_5,143,hyb,25.15116667,10,1,6,1,0,6451,2291,1
149_1_til1,149_1,149,hyb,75.44666667,11.25,0.9,3,0.95,15,852,2341,1
149_1_til3,149_1,149,hyb,39.7365,11.25,1,4,0.95,2,852,2341,1
158_4_til2,158_4,158,inter,13.198,10.33333333,1,1,1,11,663,731,1
158_4_til3,158_4,158,inter,35.16666667,10.33333333,1,3,1,2,663,731,1
159_1_til1,159_1,159,inter,19.821,7,1,1,1,7,10164,10485,2
159_1_til2,159_1,159,inter,34.861,7,1,1,1,5,10164,10485,2
159_7_til1,159_7,159,inter,51.53125,7,1,5,1,0,10164,10485,2
167_1_til1,167_1,167,inter,33.535,3,1,4,1,16,10165,4201,2
167_1_til2,167_1,167,inter,64.9685,3,1,2,1,34,10165,4201,2
167_1_til3,167_1,167,inter,58.16225,3,1,4,1,9,10165,4201,2
181_4_til1,181_4,181,hyb,28.742,8.5,0.666666667,1,0.85,3,1072,6487,2
181_4_til2,181_4,181,hyb,35.447,8.5,0.666666667,1,0.85,2,1072,6487,2
19_1_til1,19_1,19,hyb,24.90733333,16,1,3,1,38,7141,6341,1
22_10_til3,22_10,22,inter,33.6025,3.5,1,2,1,28,8174,9227,1
22_13_til2,22_13,22,inter,50.8015,3.5,0.9,2,0.88,15,8174,9227,1
22_14_til1,22_14,22,inter,40.0975,3.5,1,2,1,17,8174,9227,1
22_2_til1,22_2,22,inter,16.00666667,3.5,1,3,1,28,8174,9227,1
22_2_til2,22_2,22,inter,31.5818,3.5,1,5,1,33,8174,9227,1
22_4_til1,22_4,22,inter,44.564,3.5,1,1,1,26,8174,9227,1
22_4_til2,22_4,22,inter,28.761,3.5,1,4,1,26,8174,9227,1
22_4_til3,22_4,22,inter,25.5715,3.5,1,2,1,17,8174,9227,1
22_6_til2,22_6,22,inter,36.856,3.5,0.8,1,0.9,40,8174,9227,1
22_8_til1,22_8,22,inter,11.186,3.5,1,1,1,32,8174,9227,1
22_8_til3,22_8,22,inter,23.48,3.5,1,1,1,17,8174,9227,1
227_1_til1,227_1,227,inter,34.43516667,9.5,1,6,1,0,852,1462,1
24_4_til1,24_4,24,inter,41.5185,10,1,2,1,3,7214,6261,2
24_4_til3,24_4,24,inter,43.70066667,10,1,3,1,1,7214,6261,2
24_5_til1,24_5,24,inter,48.247,10,1,3,1,1,7214,6261,2
24_5_til3,24_5,24,inter,75.155,10,1,1,1,4,7214,6261,2
33_1_til2,33_1,33,inter,38.037,7,1,2,1,14,8172,7214,1
33_10_til1,33_10,33,inter,37.6035,7,0.9,4,0.928,14,8172,7214,1
33_10_til3,33_10,33,inter,18.429,7,1,1,0.928,9,8172,7214,1
33_20_til1,33_20,33,inter,51.915,7,1,5,1,32,8172,7214,1
4_4_til2,4_4,4,inter,75.438,9,1,1,1,1,7211,9261,2
48_1_til1,48_1,48,inter,28.52766667,7,1,3,1,5,8172,7215,1
48_2_til1,48_2,48,inter,71.0895,7,1,2,1,1,8172,7215,1
48_4_til3,48_4,48,inter,70.589,7,1,1,1,2,8172,7215,1
57_4_til1,57_4,57,inter,28.8138,8.5,1,5,1,15,7216,9225,2
57_4_til2,57_4,57,inter,54.7595,8.5,1,4,1,20,7216,9225,2
57_6_til3,57_6,57,inter,20.872,8.5,1,1,1,24,7216,9225,2
